pl_name,pl_rade,pl_bmasse,pl_orbper,st_teff
"TOI-1685 b",1.42900000,,0.66913856000,
"Kepler-896 b",3.06000000,,144.55162800000,5510.00
"Wolf 503 b",2.03000000,,6.00118000000,4716.00
"Kepler-1682 b",2.54000000,,14.83340944000,5570.00
"CoRoT-7 b",1.86069400,6.99226000,0.85358500000,5250.00
"Kepler-1990 c",1.10000000,,4.06844201000,5731.00
"Kepler-1985 b",1.81000000,,3.42063861000,5485.00
"HAT-P-13 b",14.35900000,271.09800000,2.91626000000,5653.00
"Kepler-51 d",9.32000000,5.60000000,130.18200000000,5674.00
"TOI-3884 b",6.00000000,16.50000000,4.54456970000,3269.00
"K2-19 c",4.05161714,,11.90762500000,5391.00
"K2-3 b",2.07800000,8.40000000,10.05429000000,
"K2-406 b",4.60200000,,22.54940600000,5784.00
"TOI-3486 b",10.57006880,99.16246298,2.21778105000,4930.00
"TOI-2169 A b",12.50922246,329.58805806,8.21482820000,6270.00
"Kepler-1991 b",1.84599996,,13.26080036000,5478.00
"Kepler-619 b",2.69000000,,5.40427219700,6122.00
"K2-3 c",1.64400000,2.10000000,24.64910000000,
"Kepler-68 c",0.92000000,,9.60503867000,5793.00
"Kepler-1834 c",1.45599997,,0.76669198300,4821.00
"Kepler-1610 b",1.45000000,,8.70181574000,5295.00
"Kepler-416 c",2.61000000,,12.20951755000,5670.00
"Kepler-880 c",3.15700007,,11.80609989000,6900.00
"Kepler-549 c",2.68000000,,117.03352100000,5312.00
"TOI-6000 b",0.94000000,,0.44895900000,3419.00
"TOI-2018 b",2.26800000,9.20000000,7.43558300000,4174.00
"TOI-3135 b",12.97580000,,3.70656030000,5632.00
"Kepler-107 b",1.55000000,,3.18002463500,5851.00
"TOI-757 b",2.17884000,,17.46822980000,5499.00
"TOI-4638.01",2.71867163,,10.28295825180,5700.00
"NGTS-21 b",14.90794433,750.07504052,1.54338970000,4660.00
"TOI-2382 b",12.25141591,235.19302118,4.66120610000,6033.00
"L 98-59 b",0.83700000,0.46000000,2.25311400000,3415.00
"HATS-2 b",13.22366376,,1.35413417418,5227.00
"EPIC 212587672 c",2.30000000,,23.22600000000,
"EPIC 220674823 c",2.70490157,,13.33974600000,5590.00
"TOI-620 b",3.76000000,,5.09881790000,3708.00
"Kepler-138 c",1.17000000,,13.78110882000,3726.00
"TOI-4214 b",10.68215861,165.27077164,3.49138850000,6370.00
